title,summary,published,year,month,category
"Ontology-Based Skill Description Learning for Flexible Production
  Systems","The increasing importance of resource-efficient production entails that
manufacturing companies have to create a more dynamic production environment,
with flexible manufacturing machines and processes. To fully utilize this
potential of dynamic manufacturing through automatic production planning,
formal skill descriptions of the machines are essential. However, generating
those skill descriptions in a manual fashion is labor-intensive and requires
extensive domain-knowledge. In this contribution an ontology-based
semi-automatic skill description system that utilizes production logs and
industrial ontologies through inductive logic programming is introduced and
benefits and drawbacks of the proposed solution are evaluated.",2021-11-25,2021,2021-11,manufacturing
"TinyDefectNet: Highly Compact Deep Neural Network Architecture for
  High-Throughput Manufacturing Visual Quality Inspection","A critical aspect in the manufacturing process is the visual quality
inspection of manufactured components for defects and flaws. Human-only visual
inspection can be very time-consuming and laborious, and is a significant
bottleneck especially for high-throughput manufacturing scenarios. Given
significant advances in the field of deep learning, automated visual quality
inspection can lead to highly efficient and reliable detection of defects and
flaws during the manufacturing process. However, deep learning-driven visual
inspection methods often necessitate significant computational resources, thus
limiting throughput and act as a bottleneck to widespread adoption for enabling
smart factories. In this study, we investigated the utilization of a
machine-driven design exploration approach to create TinyDefectNet, a highly
compact deep convolutional network architecture tailored for high-throughput
manufacturing visual quality inspection. TinyDefectNet comprises of just ~427K
parameters and has a computational complexity of ~97M FLOPs, yet achieving a
detection accuracy of a state-of-the-art architecture for the task of surface
defect detection on the NEU defect benchmark dataset. As such, TinyDefectNet
can achieve the same level of detection performance at 52$\times$ lower
architectural complexity and 11x lower computational complexity. Furthermore,
TinyDefectNet was deployed on an AMD EPYC 7R32, and achieved 7.6x faster
throughput using the native Tensorflow environment and 9x faster throughput
using AMD ZenDNN accelerator library. Finally, explainability-driven
performance validation strategy was conducted to ensure correct decision-making
behaviour was exhibited by TinyDefectNet to improve trust in its usage by
operators and inspectors.",2021-11-29,2021,2021-11,manufacturing
"Towards a Reference Software Architecture for Human-AI Teaming in Smart
  Manufacturing","With the proliferation of AI-enabled software systems in smart manufacturing,
the role of such systems moves away from a reactive to a proactive role that
provides context-specific support to manufacturing operators. In the frame of
the EU funded Teaming.AI project, we identified the monitoring of teaming
aspects in human-AI collaboration, the runtime monitoring and validation of
ethical policies, and the support for experimentation with data and machine
learning algorithms as the most relevant challenges for human-AI teaming in
smart manufacturing. Based on these challenges, we developed a reference
software architecture based on knowledge graphs, tracking and scene analysis,
and components for relational machine learning with a particular focus on its
scalability. Our approach uses knowledge graphs to capture product- and process
specific knowledge in the manufacturing process and to utilize it for
relational machine learning. This allows for context-specific recommendations
for actions in the manufacturing process for the optimization of product
quality and the prevention of physical harm. The empirical validation of this
software architecture will be conducted in cooperation with three large-scale
companies in the automotive, energy systems, and precision machining domain. In
this paper we discuss the identified challenges for such a reference software
architecture, present its preliminary status, and sketch our further research
vision in this project.",2022-01-13,2022,2022-01,manufacturing
"Accelerating Part-Scale Simulation in Liquid Metal Jet Additive
  Manufacturing via Operator Learning","Predicting part quality for additive manufacturing (AM) processes requires
high-fidelity numerical simulation of partial differential equations (PDEs)
governing process multiphysics on a scale of minimum manufacturable features.
This makes part-scale predictions computationally demanding, especially when
they require many small-scale simulations. We consider drop-on-demand liquid
metal jetting (LMJ) as an illustrative example of such computational
complexity. A model describing droplet coalescence for LMJ may include coupled
incompressible fluid flow, heat transfer, and phase change equations.
Numerically solving these equations becomes prohibitively expensive when
simulating the build process for a full part consisting of thousands to
millions of droplets. Reduced-order models (ROMs) based on neural networks (NN)
or k-nearest neighbor (kNN) algorithms have been built to replace the original
physics-based solver and are computationally tractable for part-level
simulations. However, their quick inference capabilities often come at the
expense of accuracy, robustness, and generalizability. We apply an operator
learning (OL) approach to learn a mapping between initial and final states of
the droplet coalescence process for enabling rapid and accurate part-scale
build simulation. Preliminary results suggest that OL requires
order-of-magnitude fewer data points than a kNN approach and is generalizable
beyond the training set while achieving similar prediction error.",2022-02-02,2022,2022-02,manufacturing
"Human-Centric Artificial Intelligence Architecture for Industry 5.0
  Applications","Human-centricity is the core value behind the evolution of manufacturing
towards Industry 5.0. Nevertheless, there is a lack of architecture that
considers safety, trustworthiness, and human-centricity at its core. Therefore,
we propose an architecture that integrates Artificial Intelligence (Active
Learning, Forecasting, Explainable Artificial Intelligence), simulated reality,
decision-making, and users' feedback, focusing on synergies between humans and
machines. Furthermore, we align the proposed architecture with the Big Data
Value Association Reference Architecture Model. Finally, we validate it on
three use cases from real-world case studies.",2022-03-21,2022,2022-03,manufacturing
Enriching Artificial Intelligence Explanations with Knowledge Fragments,"Artificial Intelligence models are increasingly used in manufacturing to
inform decision-making. Responsible decision-making requires accurate forecasts
and an understanding of the models' behavior. Furthermore, the insights into
models' rationale can be enriched with domain knowledge. This research builds
explanations considering feature rankings for a particular forecast, enriching
them with media news entries, datasets' metadata, and entries from the Google
Knowledge Graph. We compare two approaches (embeddings-based and
semantic-based) on a real-world use case regarding demand forecasting.",2022-04-12,2022,2022-04,manufacturing
Automated visual inspection of silicon detectors in CMS experiment,"In the CMS experiment at CERN, Geneva, a large number of HGCAL sensor modules
are fabricated in advanced laboratories around the world. Each sensor module
contains about 700 checkpoints for visual inspection thus making it almost
impossible to carry out such inspection manually. As artificial intelligence is
more and more widely used in manufacturing, traditional detection technologies
are gradually being intelligent. In order to more accurately evaluate the
checkpoints, we propose to use deep learning-based object detection techniques
to detect manufacturing defects in testing large numbers of modules
automatically.",2022-06-03,2022,2022-06,manufacturing
A Capability and Skill Model for Heterogeneous Autonomous Robots,"Teams of heterogeneous autonomous robots become increasingly important due to
their facilitation of various complex tasks. For such heterogeneous robots,
there is currently no consistent way of describing the functions that each
robot provides. In the field of manufacturing, capability modeling is
considered a promising approach to semantically model functions provided by
different machines. This contribution investigates how to apply and extend
capability models from manufacturing to the field of autonomous robots and
presents an approach for such a capability model.",2022-09-22,2022,2022-09,manufacturing
"Mitigating Attacks on Artificial Intelligence-based Spectrum Sensing for
  Cellular Network Signals","Cellular networks (LTE, 5G, and beyond) are dramatically growing with high
demand from consumers and more promising than the other wireless networks with
advanced telecommunication technologies. The main goal of these networks is to
connect billions of devices, systems, and users with high-speed data
transmission, high cell capacity, and low latency, as well as to support a wide
range of new applications, such as virtual reality, metaverse, telehealth,
online education, autonomous and flying vehicles, advanced manufacturing, and
many more. To achieve these goals, spectrum sensing has been paid more
attention, along with new approaches using artificial intelligence (AI) methods
for spectrum management in cellular networks. This paper provides a
vulnerability analysis of spectrum sensing approaches using AI-based semantic
segmentation models for identifying cellular network signals under adversarial
attacks with and without defensive distillation methods. The results showed
that mitigation methods can significantly reduce the vulnerabilities of
AI-based spectrum sensing models against adversarial attacks.",2022-09-27,2022,2022-09,manufacturing
An Ontology for Defect Detection in Metal Additive Manufacturing,"A key challenge for Industry 4.0 applications is to develop control systems
for automated manufacturing services that are capable of addressing both data
integration and semantic interoperability issues, as well as monitoring and
decision making tasks. To address such an issue in advanced manufacturing
systems, principled knowledge representation approaches based on formal
ontologies have been proposed as a foundation to information management and
maintenance in presence of heterogeneous data sources. In addition, ontologies
provide reasoning and querying capabilities to aid domain experts and end users
in the context of constraint validation and decision making. Finally,
ontology-based approaches to advanced manufacturing services can support the
explainability and interpretability of the behaviour of monitoring, control,
and simulation systems that are based on black-box machine learning algorithms.
In this work, we provide a novel ontology for the classification of
process-induced defects known from the metal additive manufacturing literature.
Together with a formal representation of the characterising features and
sources of defects, we integrate our knowledge base with state-of-the-art
ontologies in the field. Our knowledge base aims at enhancing the modelling
capabilities of additive manufacturing ontologies by adding further defect
analysis terminology and diagnostic inference features.",2022-09-29,2022,2022-09,manufacturing
"Learning Causal Graphs in Manufacturing Domains using Structural
  Equation Models","Many production processes are characterized by numerous and complex
cause-and-effect relationships. Since they are only partially known they pose a
challenge to effective process control. In this work we present how Structural
Equation Models can be used for deriving cause-and-effect relationships from
the combination of prior knowledge and process data in the manufacturing
domain. Compared to existing applications, we do not assume linear
relationships leading to more informative results.",2022-10-26,2022,2022-10,manufacturing
"SolderNet: Towards Trustworthy Visual Inspection of Solder Joints in
  Electronics Manufacturing Using Explainable Artificial Intelligence","In electronics manufacturing, solder joint defects are a common problem
affecting a variety of printed circuit board components. To identify and
correct solder joint defects, the solder joints on a circuit board are
typically inspected manually by trained human inspectors, which is a very
time-consuming and error-prone process. To improve both inspection efficiency
and accuracy, in this work we describe an explainable deep learning-based
visual quality inspection system tailored for visual inspection of solder
joints in electronics manufacturing environments. At the core of this system is
an explainable solder joint defect identification system called SolderNet which
we design and implement with trust and transparency in mind. While several
challenges remain before the full system can be developed and deployed, this
study presents important progress towards trustworthy visual inspection of
solder joints in electronics manufacturing.",2022-11-18,2022,2022-11,manufacturing
"Image-based Artificial Intelligence empowered surrogate model and shape
  morpher for real-time blank shape optimisation in the hot stamping process","As the complexity of modern manufacturing technologies increases, traditional
trial-and-error design, which requires iterative and expensive simulations,
becomes unreliable and time-consuming. This difficulty is especially
significant for the design of hot-stamped safety-critical components, such as
ultra-high-strength-steel (UHSS) B-pillars. To reduce design costs and ensure
manufacturability, scalar-based Artificial-Intelligence-empowered surrogate
modelling (SAISM) has been investigated and implemented, which can allow
real-time manufacturability-constrained structural design optimisation.
However, SAISM suffers from low accuracy and generalisability, and usually
requires a high volume of training samples. To solve this problem, an
image-based Artificial-intelligence-empowered surrogate modelling (IAISM)
approach is developed in this research, in combination with an
auto-decoder-based blank shape generator. The IAISM, which is based on a
Mask-Res-SE-U-Net architecture, is trained to predict the full thinning field
of the as-formed component given an arbitrary blank shape. Excellent prediction
performance of IAISM is achieved with only 256 training samples, which
indicates the small-data learning nature of engineering AI tasks using
structured data representations. The trained auto-decoder, trained
Mask-Res-SE-U-Net, and Adam optimiser are integrated to conduct blank
optimisation by modifying the latent vector. The optimiser can rapidly find
blank shapes that satisfy manufacturability criteria. As a high-accuracy and
generalisable surrogate modelling and optimisation tool, the proposed pipeline
is promising to be integrated into a full-chain digital twin to conduct
real-time, multi-objective design optimisation.",2022-12-01,2022,2022-12,manufacturing
"Deep-Learning Quantitative Structural Characterization in Additive
  Manufacturing","With a goal of accelerating fabrication of additively manufactured components
with precise microstructures, we developed a method for structural
characterization of key features in additively manufactured materials and
parts. The method utilizes deep learning based on an image-to-image translation
conditional Generative Adversarial Neural Network architecture and enables fast
and incrementally more accurate predictions of the prevalent geometric
features, including melt pool boundaries and printing induced defects visible
in etched optical images. These structural details are heterogeneous in nature.
Our method specifies the microstructure state of an additive built via
statistical distribution of structural details, based on an ensemble of
collected images. Extensions of the method are proposed to address Artificial
Intelligence implementation of developed machine learning model for in real
time control of additive manufacturing.",2023-01-20,2023,2023-01,manufacturing
"Time-Series Pattern Recognition in Smart Manufacturing Systems: A
  Literature Review and Ontology","Since the inception of Industry 4.0 in 2012, emerging technologies have
enabled the acquisition of vast amounts of data from diverse sources such as
machine tools, robust and affordable sensor systems with advanced information
models, and other sources within Smart Manufacturing Systems (SMS). As a
result, the amount of data that is available in manufacturing settings has
exploded, allowing data-hungry tools such as Artificial Intelligence (AI) and
Machine Learning (ML) to be leveraged. Time-series analytics has been
successfully applied in a variety of industries, and that success is now being
migrated to pattern recognition applications in manufacturing to support higher
quality products, zero defect manufacturing, and improved customer
satisfaction. However, the diverse landscape of manufacturing presents a
challenge for successfully solving problems in industry using time-series
pattern recognition. The resulting research gap of understanding and applying
the subject matter of time-series pattern recognition in manufacturing is a
major limiting factor for adoption in industry. The purpose of this paper is to
provide a structured perspective of the current state of time-series pattern
recognition in manufacturing with a problem-solving focus. By using an ontology
to classify and define concepts, how they are structured, their properties, the
relationships between them, and considerations when applying them, this paper
aims to provide practical and actionable guidelines for application and
recommendations for advancing time-series analytics.",2023-01-29,2023,2023-01,manufacturing
"Semiconductor Fab Scheduling with Self-Supervised and Reinforcement
  Learning","Semiconductor manufacturing is a notoriously complex and costly multi-step
process involving a long sequence of operations on expensive and
quantity-limited equipment. Recent chip shortages and their impacts have
highlighted the importance of semiconductors in the global supply chains and
how reliant on those our daily lives are. Due to the investment cost,
environmental impact, and time scale needed to build new factories, it is
difficult to ramp up production when demand spikes.
  This work introduces a method to successfully learn to schedule a
semiconductor manufacturing facility more efficiently using deep reinforcement
and self-supervised learning. We propose the first adaptive scheduling approach
to handle complex, continuous, stochastic, dynamic, modern semiconductor
manufacturing models. Our method outperforms the traditional hierarchical
dispatching strategies typically used in semiconductor manufacturing plants,
substantially reducing each order's tardiness and time until completion. As a
result, our method yields a better allocation of resources in the semiconductor
manufacturing process.",2023-02-14,2023,2023-02,manufacturing
"Machine Learning Approaches in Agile Manufacturing with Recycled
  Materials for Sustainability","It is important to develop sustainable processes in materials science and
manufacturing that are environmentally friendly. AI can play a significant role
in decision support here as evident from our earlier research leading to tools
developed using our proposed machine learning based approaches. Such tools
served the purpose of computational estimation and expert systems. This
research addresses environmental sustainability in materials science via
decision support in agile manufacturing using recycled and reclaimed materials.
It is a safe and responsible way to turn a specific waste stream to value-added
products. We propose to use data-driven methods in AI by applying machine
learning models for predictive analysis to guide decision support in
manufacturing. This includes harnessing artificial neural networks to study
parameters affecting heat treatment of materials and impacts on their
properties; deep learning via advances such as convolutional neural networks to
explore grain size detection; and other classifiers such as Random Forests to
analyze phrase fraction detection. Results with all these methods seem
promising to embark on further work, e.g. ANN yields accuracy around 90\% for
predicting micro-structure development as per quench tempering, a heat
treatment process. Future work entails several challenges: investigating
various computer vision models (VGG, ResNet etc.) to find optimal accuracy,
efficiency and robustness adequate for sustainable processes; creating
domain-specific tools using machine learning for decision support in agile
manufacturing; and assessing impacts on sustainability with metrics
incorporating the appropriate use of recycled materials as well as the
effectiveness of developed products. Our work makes impacts on green technology
for smart manufacturing, and is motivated by related work in the highly
interesting realm of AI for materials science.",2023-03-15,2023,2023-03,manufacturing
"Opportunities and Challenges to Integrate Artificial Intelligence into
  Manufacturing Systems: Thoughts from a Panel Discussion","Rapid advances in artificial intelligence (AI) have the potential to
significantly increase the productivity, quality, and profitability in future
manufacturing systems. Traditional mass-production will give way to
personalized production, with each item made to order, at the low cost and
high-quality consumers have come to expect. Manufacturing systems will have the
intelligence to be resilient to multiple disruptions, from small-scale machine
breakdowns, to large-scale natural disasters. Products will be made with higher
precision and lower variability. While gains have been made towards the
development of these factories of the future, many challenges remain to fully
realize this vision. To consider the challenges and opportunities associated
with this topic, a panel of experts from Industry, Academia, and Government was
invited to participate in an active discussion at the 2022 Modeling, Estimation
and Control Conference (MECC) held in Jersey City, New Jersey from October 3-
5, 2022. The panel discussion focused on the challenges and opportunities to
more fully integrate AI into manufacturing systems. Three overarching themes
emerged from the panel discussion. First, to be successful, AI will need to
work seamlessly, and in an integrated manner with humans (and vice versa).
Second, significant gaps in the infrastructure needed to enable the full
potential of AI into the manufacturing ecosystem, including sufficient data
availability, storage, and analysis, must be addressed. And finally, improved
coordination between universities, industry, and government agencies can
facilitate greater opportunities to push the field forward. This article
briefly summarizes these three themes, and concludes with a discussion of
promising directions.",2023-03-20,2023,2023-03,manufacturing
"Shapley-based Explainable AI for Clustering Applications in Fault
  Diagnosis and Prognosis","Data-driven artificial intelligence models require explainability in
intelligent manufacturing to streamline adoption and trust in modern industry.
However, recently developed explainable artificial intelligence (XAI)
techniques that estimate feature contributions on a model-agnostic level such
as SHapley Additive exPlanations (SHAP) have not yet been evaluated for
semi-supervised fault diagnosis and prognosis problems characterized by class
imbalance and weakly labeled datasets. This paper explores the potential of
utilizing Shapley values for a new clustering framework compatible with
semi-supervised learning problems, loosening the strict supervision requirement
of current XAI techniques. This broad methodology is validated on two case
studies: a heatmap image dataset obtained from a semiconductor manufacturing
process featuring class imbalance, and a benchmark dataset utilized in the 2021
Prognostics and Health Management (PHM) Data Challenge. Semi-supervised
clustering based on Shapley values significantly improves upon clustering
quality compared to the fully unsupervised case, deriving information-dense and
meaningful clusters that relate to underlying fault diagnosis model
predictions. These clusters can also be characterized by high-precision
decision rules in terms of original feature values, as demonstrated in the
second case study. The rules, limited to 1-2 terms utilizing original feature
scales, describe 12 out of the 16 derived equipment failure clusters with
precision exceeding 0.85, showcasing the promising utility of the explainable
clustering framework for intelligent manufacturing applications.",2023-03-25,2023,2023-03,manufacturing
"Blockchain-based Access Control for Secure Smart Industry Management
  Systems","Smart manufacturing systems involve a large number of interconnected devices
resulting in massive data generation. Cloud computing technology has recently
gained increasing attention in smart manufacturing systems for facilitating
cost-effective service provisioning and massive data management. In a
cloud-based manufacturing system, ensuring authorized access to the data is
crucial. A cloud platform is operated under a single authority. Hence, a cloud
platform is prone to a single point of failure and vulnerable to adversaries.
An internal or external adversary can easily modify users' access to allow
unauthorized users to access the data. This paper proposes a role-based access
control to prevent modification attacks by leveraging blockchain and smart
contracts in a cloud-based smart manufacturing system. The role-based access
control is developed to determine users' roles and rights in smart contracts.
The smart contracts are then deployed to the private blockchain network. We
evaluate our solution by utilizing Ethereum private blockchain network to
deploy the smart contract. The experimental results demonstrate the feasibility
and evaluation of the proposed framework's performance.",2023-04-26,2023,2023-04,manufacturing
"Neurosymbolic Artificial Intelligence (NSAI) based Algorithm for
  predicting the Impact Strength of Additive Manufactured Polylactic Acid (PLA)
  Specimens","In this study, we introduce application of Neurosymbolic Artificial
Intelligence (NSAI) for predicting the impact strength of additive manufactured
polylactic acid (PLA) components, representing the first-ever use of NSAI in
the domain of additive manufacturing. The NSAI model amalgamates the advantages
of neural networks and symbolic AI, offering a more robust and accurate
prediction than traditional machine learning techniques. Experimental data was
collected and synthetically augmented to 1000 data points, enhancing the
model's precision. The Neurosymbolic model was developed using a neural network
architecture comprising input, two hidden layers, and an output layer, followed
by a decision tree regressor representing the symbolic component. The model's
performance was benchmarked against a Simple Artificial Neural Network (ANN)
model by assessing mean squared error (MSE) and R-squared (R2) values for both
training and validation datasets. The results reveal that the Neurosymbolic
model surpasses the Simple ANN model, attaining lower MSE and higher R2 values
for both training and validation sets. This innovative application of the
Neurosymbolic approach in estimating the impact strength of additive
manufactured PLA components underscores its potential for optimizing the
additive manufacturing process. Future research could investigate further
refinements to the Neurosymbolic model, extend its application to other
materials and additive manufacturing processes, and incorporate real-time
monitoring and control for enhanced process optimization.",2023-05-07,2023,2023-05,manufacturing
"Trustworthy, responsible, ethical AI in manufacturing and supply chains:
  synthesis and emerging research questions","While the increased use of AI in the manufacturing sector has been widely
noted, there is little understanding on the risks that it may raise in a
manufacturing organisation. Although various high level frameworks and
definitions have been proposed to consolidate potential risks, practitioners
struggle with understanding and implementing them.
  This lack of understanding exposes manufacturing to a multitude of risks,
including the organisation, its workers, as well as suppliers and clients. In
this paper, we explore and interpret the applicability of responsible, ethical,
and trustworthy AI within the context of manufacturing. We then use a broadened
adaptation of a machine learning lifecycle to discuss, through the use of
illustrative examples, how each step may result in a given AI trustworthiness
concern. We additionally propose a number of research questions to the
manufacturing research community, in order to help guide future research so
that the economic and societal benefits envisaged by AI in manufacturing are
delivered safely and responsibly.",2023-05-19,2023,2023-05,manufacturing
"Flexible and Inherently Comprehensible Knowledge Representation for
  Data-Efficient Learning and Trustworthy Human-Machine Teaming in
  Manufacturing Environments","Trustworthiness of artificially intelligent agents is vital for the
acceptance of human-machine teaming in industrial manufacturing environments.
Predictable behaviours and explainable (and understandable) rationale allow
humans collaborating with (and building) these agents to understand their
motivations and therefore validate decisions that are made. To that aim, we
make use of G\""ardenfors's cognitively inspired Conceptual Space framework to
represent the agent's knowledge using concepts as convex regions in a space
spanned by inherently comprehensible quality dimensions. A simple typicality
quantification model is built on top of it to determine fuzzy category
membership and classify instances interpretably. We apply it on a use case from
the manufacturing domain, using objects' physical properties obtained from
cobots' onboard sensors and utilisation properties from crowdsourced
commonsense knowledge available at public knowledge bases. Such flexible
knowledge representation based on property decomposition allows for
data-efficient representation learning of typically highly specialist or
specific manufacturing artefacts. In such a setting, traditional data-driven
(e.g., computer vision-based) classification approaches would struggle due to
training data scarcity. This allows for comprehensibility of an AI agent's
acquired knowledge by the human collaborator thus contributing to
trustworthiness. We situate our approach within an existing explainability
framework specifying explanation desiderata. We provide arguments for our
system's applicability and appropriateness for different roles of human agents
collaborating with the AI system throughout its design, validation, and
operation.",2023-05-19,2023,2023-05,manufacturing
"A Survey of Explainable AI and Proposal for a Discipline of Explanation
  Engineering","In this survey paper, we deep dive into the field of Explainable Artificial
Intelligence (XAI). After introducing the scope of this paper, we start by
discussing what an ""explanation"" really is. We then move on to discuss some of
the existing approaches to XAI and build a taxonomy of the most popular
methods. Next, we also look at a few applications of these and other XAI
techniques in four primary domains: finance, autonomous driving, healthcare and
manufacturing. We end by introducing a promising discipline, ""Explanation
Engineering,"" which includes a systematic approach for designing explainability
into AI systems.",2023-05-20,2023,2023-05,manufacturing
"Employing Explainable Artificial Intelligence (XAI) Methodologies to
  Analyze the Correlation between Input Variables and Tensile Strength in
  Additively Manufactured Samples","This research paper explores the impact of various input parameters,
including Infill percentage, Layer Height, Extrusion Temperature, and Print
Speed, on the resulting Tensile Strength in objects produced through additive
manufacturing. The main objective of this study is to enhance our understanding
of the correlation between the input parameters and Tensile Strength, as well
as to identify the key factors influencing the performance of the additive
manufacturing process. To achieve this objective, we introduced the utilization
of Explainable Artificial Intelligence (XAI) techniques for the first time,
which allowed us to analyze the data and gain valuable insights into the
system's behavior. Specifically, we employed SHAP (SHapley Additive
exPlanations), a widely adopted framework for interpreting machine learning
model predictions, to provide explanations for the behavior of a machine
learning model trained on the data. Our findings reveal that the Infill
percentage and Extrusion Temperature have the most significant influence on
Tensile Strength, while the impact of Layer Height and Print Speed is
relatively minor. Furthermore, we discovered that the relationship between the
input parameters and Tensile Strength is highly intricate and nonlinear, making
it difficult to accurately describe using simple linear models.",2023-05-28,2023,2023-05,manufacturing
Human in the AI loop via xAI and Active Learning for Visual Inspection,"Industrial revolutions have historically disrupted manufacturing by
introducing automation into production. Increasing automation reshapes the role
of the human worker. Advances in robotics and artificial intelligence open new
frontiers of human-machine collaboration. Such collaboration can be realized
considering two sub-fields of artificial intelligence: active learning and
explainable artificial intelligence. Active learning aims to devise strategies
that help obtain data that allows machine learning algorithms to learn better.
On the other hand, explainable artificial intelligence aims to make the machine
learning models intelligible to the human person. The present work first
describes Industry 5.0, human-machine collaboration, and state-of-the-art
regarding quality inspection, emphasizing visual inspection. Then it outlines
how human-machine collaboration could be realized and enhanced in visual
inspection. Finally, some of the results obtained in the EU H2020 STAR project
regarding visual inspection are shared, considering artificial intelligence,
human digital twins, and cybersecurity.",2023-07-03,2023,2023-07,manufacturing
AI4OPT: AI Institute for Advances in Optimization,"This article is a short introduction to AI4OPT, the NSF AI Institute for
Advances in Optimization. AI4OPT fuses AI and Optimization, inspired by end-use
cases in supply chains, energy systems, chip design and manufacturing, and
sustainable food systems. AI4OPT also applies its ""teaching the teachers""
philosophy to provide longitudinal educational pathways in AI for engineering.",2023-07-05,2023,2023-07,manufacturing
"Hybrid ASP-based multi-objective scheduling of semiconductor
  manufacturing processes (Extended version)","Modern semiconductor manufacturing involves intricate production processes
consisting of hundreds of operations, which can take several months from lot
release to completion. The high-tech machines used in these processes are
diverse, operate on individual wafers, lots, or batches in multiple stages, and
necessitate product-specific setups and specialized maintenance procedures.
This situation is different from traditional job-shop scheduling scenarios,
which have less complex production processes and machines, and mainly focus on
solving highly combinatorial but abstract scheduling problems. In this work, we
address the scheduling of realistic semiconductor manufacturing processes by
modeling their specific requirements using hybrid Answer Set Programming with
difference logic, incorporating flexible machine processing, setup, batching
and maintenance operations. Unlike existing methods that schedule semiconductor
manufacturing processes locally with greedy heuristics or by independently
optimizing specific machine group allocations, we examine the potentials of
large-scale scheduling subject to multiple optimization objectives.",2023-07-27,2023,2023-07,manufacturing
"Time-Series Classification in Smart Manufacturing Systems: An
  Experimental Evaluation of State-of-the-Art Machine Learning Algorithms","Manufacturing is gathering extensive amounts of diverse data, thanks to the
growing number of sensors and rapid advances in sensing technologies. Among the
various data types available in SMS settings, time-series data plays a pivotal
role. Hence, TSC emerges is crucial in this domain. The objective of this study
is to fill this gap by providing a rigorous experimental evaluation of the SoTA
ML and DL algorithms for TSC tasks in manufacturing and industrial settings. We
first explored and compiled a comprehensive list of more than 92 SoTA
algorithms from both TSC and manufacturing literature. Following, we selected
the 36 most representative algorithms from this list. To evaluate their
performance across various manufacturing classification tasks, we curated a set
of 22 manufacturing datasets, representative of different characteristics that
cover diverse manufacturing problems. Subsequently, we implemented and
evaluated the algorithms on the manufacturing benchmark datasets, and analyzed
the results for each dataset. Based on the results, ResNet, DrCIF,
InceptionTime, and ARSENAL are the top-performing algorithms, boasting an
average accuracy of over 96.6% across all 22 manufacturing TSC datasets. These
findings underscore the robustness, efficiency, scalability, and effectiveness
of convolutional kernels in capturing temporal features in time-series data, as
three out of the top four performing algorithms leverage these kernels for
feature extraction. Additionally, LSTM, BiLSTM, and TS-LSTM algorithms deserve
recognition for their effectiveness in capturing features within time-series
data using RNN-based structures.",2023-10-04,2023,2023-10,manufacturing
"Large Scale Foundation Models for Intelligent Manufacturing
  Applications: A Survey","Although the applications of artificial intelligence especially deep learning
had greatly improved various aspects of intelligent manufacturing, they still
face challenges for wide employment due to the poor generalization ability,
difficulties to establish high-quality training datasets, and unsatisfactory
performance of deep learning methods. The emergence of large scale foundational
models(LSFMs) had triggered a wave in the field of artificial intelligence,
shifting deep learning models from single-task, single-modal, limited data
patterns to a paradigm encompassing diverse tasks, multimodal, and pre-training
on massive datasets. Although LSFMs had demonstrated powerful generalization
capabilities, automatic high-quality training dataset generation and superior
performance across various domains, applications of LSFMs on intelligent
manufacturing were still in their nascent stage. A systematic overview of this
topic was lacking, especially regarding which challenges of deep learning can
be addressed by LSFMs and how these challenges can be systematically tackled.
To fill this gap, this paper systematically expounded current statue of LSFMs
and their advantages in the context of intelligent manufacturing. and compared
comprehensively with the challenges faced by current deep learning models in
various intelligent manufacturing applications. We also outlined the roadmaps
for utilizing LSFMs to address these challenges. Finally, case studies of
applications of LSFMs in real-world intelligent manufacturing scenarios were
presented to illustrate how LSFMs could help industries, improve their
efficiency.",2023-12-11,2023,2023-12,manufacturing
"DVQI: A Multi-task, Hardware-integrated Artificial Intelligence System
  for Automated Visual Inspection in Electronics Manufacturing","As electronics manufacturers continue to face pressure to increase production
efficiency amid difficulties with supply chains and labour shortages, many
printed circuit board assembly (PCBA) manufacturers have begun to invest in
automation and technological innovations to remain competitive. One such method
is to leverage artificial intelligence (AI) to greatly augment existing
manufacturing processes. In this paper, we present the DarwinAI Visual Quality
Inspection (DVQI) system, a hardware-integration artificial intelligence system
for the automated inspection of printed circuit board assembly defects in an
electronics manufacturing environment. The DVQI system enables multi-task
inspection via minimal programming and setup for manufacturing engineers while
improving cycle time relative to manual inspection. We also present a case
study of the deployed DVQI system's performance and impact for a top
electronics manufacturer.",2023-12-14,2023,2023-12,manufacturing
"Boosting Defect Detection in Manufacturing using Tensor Convolutional
  Neural Networks","Defect detection is one of the most important yet challenging tasks in the
quality control stage in the manufacturing sector. In this work, we introduce a
Tensor Convolutional Neural Network (T-CNN) and examine its performance on a
real defect detection application in one of the components of the ultrasonic
sensors produced at Robert Bosch's manufacturing plants. Our quantum-inspired
T-CNN operates on a reduced model parameter space to substantially improve the
training speed and performance of an equivalent CNN model without sacrificing
accuracy. More specifically, we demonstrate how T-CNNs are able to reach the
same performance as classical CNNs as measured by quality metrics, with up to
fifteen times fewer parameters and 4% to 19% faster training times. Our results
demonstrate that the T-CNN greatly outperforms the results of traditional human
visual inspection, providing value in a current real application in
manufacturing.",2023-12-29,2023,2023-12,manufacturing
