title,summary,published,year,month,category,url
"Artificial Intelligence for COVID-19 Detection -- A state-of-the-art
  review","The emergence of COVID-19 has necessitated many efforts by the scientific
community for its proper management. An urgent clinical reaction is required in
the face of the unending devastation being caused by the pandemic. These
efforts include technological innovations for improvement in screening,
treatment, vaccine development, contact tracing and, survival prediction. The
use of Deep Learning (DL) and Artificial Intelligence (AI) can be sought in all
of the above-mentioned spheres. This paper aims to review the role of Deep
Learning and Artificial intelligence in various aspects of the overall COVID-19
management and particularly for COVID-19 detection and classification. The DL
models are developed to analyze clinical modalities like CT scans and X-Ray
images of patients and predict their pathological condition. A DL model aims to
detect the COVID-19 pneumonia, classify and distinguish between COVID-19,
Community-Acquired Pneumonia (CAP), Viral and Bacterial pneumonia, and normal
conditions. Furthermore, sophisticated models can be built to segment the
affected area in the lungs and quantify the infection volume for a better
understanding of the extent of damage. Many models have been developed either
independently or with the help of pre-trained models like VGG19, ResNet50, and
AlexNet leveraging the concept of transfer learning. Apart from model
development, data preprocessing and augmentation are also performed to cope
with the challenge of insufficient data samples often encountered in medical
applications. It can be evaluated that DL and AI can be effectively implemented
to withstand the challenges posed by the global emergency",2020-11-25,2020,2020-11,medical,http://arxiv.org/abs/2012.06310v1
"Transfer learning to enhance amenorrhea status prediction in cancer and
  fertility data with missing values","Collecting sufficient labelled training data for health and medical problems
is difficult (Antropova, et al., 2018). Also, missing values are unavoidable in
health and medical datasets and tackling the problem arising from the
inadequate instances and missingness is not straightforward (Snell, et al.
2017, Sterne, et al. 2009). However, machine learning algorithms have achieved
significant success in many real-world healthcare problems, such as regression
and classification and these techniques could possibly be a way to resolve the
issues.",2020-12-01,2020,2020-12,medical,http://arxiv.org/abs/2012.01974v1
"MeDAL: Medical Abbreviation Disambiguation Dataset for Natural Language
  Understanding Pretraining","One of the biggest challenges that prohibit the use of many current NLP
methods in clinical settings is the availability of public datasets. In this
work, we present MeDAL, a large medical text dataset curated for abbreviation
disambiguation, designed for natural language understanding pre-training in the
medical domain. We pre-trained several models of common architectures on this
dataset and empirically showed that such pre-training leads to improved
performance and convergence speed when fine-tuning on downstream medical tasks.",2020-12-27,2020,2020-12,medical,http://arxiv.org/abs/2012.13978v1
Order Embeddings from Merged Ontologies using Sketching,"We give a simple, low resource method to produce order embeddings from
ontologies. Such embeddings map words to vectors so that order relations on the
words, such as hypernymy/hyponymy, are represented in a direct way. Our method
uses sketching techniques, in particular countsketch, for dimensionality
reduction. We also study methods to merge ontologies, in particular those in
medical domains, so that order relations are preserved. We give computational
results for medical ontologies and for wordnet, showing that our merging
techniques are effective and our embedding yields an accurate representation in
both generic and specialised domains.",2021-01-06,2021,2021-01,medical,http://arxiv.org/abs/2101.02158v1
"The Medical Authority of AI: A Study of AI-enabled Consumer-facing
  Health Technology","Recently, consumer-facing health technologies such as Artificial Intelligence
(AI)-based symptom checkers (AISCs) have sprung up in everyday healthcare
practice. AISCs solicit symptom information from users and provide medical
suggestions and possible diagnoses, a responsibility that people usually
entrust with real-person authorities such as physicians and expert patients.
Thus, the advent of AISCs begs a question of whether and how they transform the
notion of medical authority in everyday healthcare practice. To answer this
question, we conducted an interview study with thirty AISC users. We found that
users assess the medical authority of AISCs using various factors including
automated decisions and interaction design patterns of AISC apps, associations
with established medical authorities like hospitals, and comparisons with other
health technologies. We reveal how AISCs are used in healthcare delivery,
discuss how AI transforms conventional understandings of medical authority, and
derive implications for designing AI-enabled health technology.",2021-01-12,2021,2021-01,medical,http://arxiv.org/abs/2101.04794v1
Diagnosis of Acute Poisoning Using Explainable Artificial Intelligence,"Medical toxicology is the clinical specialty that treats the toxic effects of
substances, be it an overdose, a medication error, or a scorpion sting. The
volume of toxicological knowledge and research has, as with other medical
specialties, outstripped the ability of the individual clinician to entirely
master and stay current with it. The application of machine learning techniques
to medical toxicology is challenging because initial treatment decisions are
often based on a few pieces of textual data and rely heavily on prior
knowledge. ML techniques often do not represent knowledge in a way that is
transparent for the physician, raising barriers to usability. Rule-based
systems and decision tree learning are more transparent approaches, but often
generalize poorly and require expert curation to implement and maintain. Here,
we construct a probabilistic logic network to represent a portion of the
knowledge base of a medical toxicologist. Our approach transparently mimics the
knowledge representation and clinical decision-making of practicing clinicians.
The software, dubbed Tak, performs comparably to humans on straightforward
cases and intermediate difficulty cases, but is outperformed by humans on
challenging clinical cases. Tak outperforms a decision tree classifier at all
levels of difficulty. Probabilistic logic provides one form of explainable
artificial intelligence that may be more acceptable for use in healthcare, if
it can achieve acceptable levels of performance.",2021-02-01,2021,2021-02,medical,http://arxiv.org/abs/2102.01116v1
"Medical Datasets Collections for Artificial Intelligence-based Medical
  Image Analysis","We collected 32 public datasets, of which 28 for medical imaging and 4 for
natural images, to conduct study. The images of these datasets are captured by
different cameras, thus vary from each other in modality, frame size and
capacity. For data accessibility, we also provide the websites of most datasets
and hope this will help the readers reach the datasets.",2021-02-02,2021,2021-02,medical,http://arxiv.org/abs/2102.01549v3
"The Ethical Implications of Shared Medical Decision Making without
  Providing Adequate Computational Support to the Care Provider and to the
  Patient","There is a clear need to involve patients in medical decisions. However,
cognitive psychological research has highlighted the cognitive limitations of
humans with respect to 1. Probabilistic assessment of the patient state and of
potential outcomes of various decisions, 2. Elicitation of the patient utility
function, and 3. Integration of the probabilistic knowledge and of patient
preferences to determine the optimal strategy. Therefore, without adequate
computational support, current shared decision models have severe ethical
deficiencies. An informed consent model unfairly transfers the responsibility
to a patient who does not have the necessary knowledge, nor the integration
capability. A paternalistic model endows with exaggerated power a physician who
might not be aware of the patient preferences, is prone to multiple cognitive
biases, and whose computational integration capability is bounded. Recent
progress in Artificial Intelligence suggests adding a third agent: a computer,
in all deliberative medical decisions: Non emergency medical decisions in which
more than one alternative exists, the patient preferences can be elicited, the
therapeutic alternatives might be influenced by these preferences, medical
knowledge exists regarding the likelihood of the decision outcomes, and there
is sufficient decision time. Ethical physicians should exploit computational
decision support technologies, neither making the decisions solely on their
own, nor shirking their duty and shifting the responsibility to patients in the
name of informed consent. The resulting three way (patient, care provider,
computer) human machine model that we suggest emphasizes the patient
preferences, the physician knowledge, and the computational integration of both
aspects, does not diminish the physician role, but rather brings out the best
in human and machine.",2021-02-03,2021,2021-02,medical,http://arxiv.org/abs/2102.01811v1
Applications of Artificial Intelligence in Particle Radiotherapy,"Radiotherapy, due to its technology-intensive nature and reliance on digital
data and human-machine interactions, is particularly suited to benefit from
artificial intelligence (AI) to improve the accuracy and efficiency of its
clinical workflow. Recently, various artificial intelligence (AI) methods have
been successfully developed to exploit the benefit of the inherent physical
properties of particle therapy. Many reviews about AI applications in
radiotherapy have already been published, but none were specifically dedicated
to particle therapy. In this article, we present a comprehensive review of the
recent published works on AI applications in particle therapy, which can be
classified into particle therapy treatment planning, adaptive particle therapy,
range and dose verification and other applications in particle therapy.
Although promising results reported in these works demonstrate how AI-based
methods can help exploit the intrinsic physic advantages of particle therapy,
challenges remained to be address before AI applications in particle therapy
enjoy widespread implementation in clinical practice.",2021-02-05,2021,2021-02,medical,http://arxiv.org/abs/2102.03061v1
"Artificial Intelligence based Autonomous Molecular Design for Medical
  Therapeutic: A Perspective","Domain-aware machine learning (ML) models have been increasingly adopted for
accelerating small molecule therapeutic design in the recent years. These
models have been enabled by significant advancement in state-of-the-art
artificial intelligence (AI) and computing infrastructures. Several ML
architectures are pre-dominantly and independently used either for predicting
the properties of small molecules, or for generating lead therapeutic
candidates. Synergetically using these individual components along with robust
representation and data generation techniques autonomously in closed loops
holds enormous promise for accelerated drug design which is a time consuming
and expensive task otherwise. In this perspective, we present the most recent
breakthrough achieved by each of the components, and how such autonomous AI and
ML workflow can be realized to radically accelerate the hit identification and
lead optimization. Taken together, this could significantly shorten the
timeline for end-to-end antiviral discovery and optimization times to weeks
upon the arrival of a novel zoonotic transmission event. Our perspective serves
as a guide for researchers to practice autonomous molecular design in
therapeutic discovery.",2021-02-10,2021,2021-02,medical,http://arxiv.org/abs/2102.06045v1
Medical Imaging and Machine Learning,"Advances in computing power, deep learning architectures, and expert labelled
datasets have spurred the development of medical imaging artificial
intelligence systems that rival clinical experts in a variety of scenarios. The
National Institutes of Health in 2018 identified key focus areas for the future
of artificial intelligence in medical imaging, creating a foundational roadmap
for research in image acquisition, algorithms, data standardization, and
translatable clinical decision support systems. Among the key issues raised in
the report: data availability, need for novel computing architectures and
explainable AI algorithms, are still relevant despite the tremendous progress
made over the past few years alone. Furthermore, translational goals of data
sharing, validation of performance for regulatory approval, generalizability
and mitigation of unintended bias must be accounted for early in the
development process. In this perspective paper we explore challenges unique to
high dimensional clinical imaging data, in addition to highlighting some of the
technical and ethical considerations in developing high-dimensional,
multi-modality, machine learning systems for clinical decision support.",2021-03-02,2021,2021-03,medical,http://arxiv.org/abs/2103.01938v1
"A Comparative Approach to Explainable Artificial Intelligence Methods in
  Application to High-Dimensional Electronic Health Records: Examining the
  Usability of XAI","Explainable Artificial Intelligence (XAI) is a rising field in AI. It aims to
produce a demonstrative factor of trust, which for human subjects is achieved
through communicative means, which Machine Learning (ML) algorithms cannot
solely produce, illustrating the necessity of an extra layer producing support
to the model output. When approaching the medical field, we can see challenges
arise when dealing with the involvement of human-subjects, the ideology behind
trusting a machine to tend towards the livelihood of a human poses an ethical
conundrum - leaving trust as the basis of the human-expert in acceptance to the
machines decision. The aim of this paper is to apply XAI methods to demonstrate
the usability of explainable architectures as a tertiary layer for the medical
domain supporting ML predictions and human-expert opinion, XAI methods produce
visualization of the feature contribution towards a given models output on both
a local and global level. The work in this paper uses XAI to determine feature
importance towards high-dimensional data-driven questions to inform
domain-experts of identifiable trends with a comparison of model-agnostic
methods in application to ML algorithms. The performance metrics for a
glass-box method is also provided as a comparison against black-box capability
for tabular data. Future work will aim to produce a user-study using metrics to
evaluate human-expert usability and opinion of the given models.",2021-03-08,2021,2021-03,medical,http://arxiv.org/abs/2103.04951v1
"Demographic Aware Probabilistic Medical Knowledge Graph Embeddings of
  Electronic Medical Records","Medical knowledge graphs (KGs) constructed from Electronic Medical Records
(EMR) contain abundant information about patients and medical entities. The
utilization of KG embedding models on these data has proven to be efficient for
different medical tasks. However, existing models do not properly incorporate
patient demographics and most of them ignore the probabilistic features of the
medical KG. In this paper, we propose DARLING (Demographic Aware pRobabiListic
medIcal kNowledge embeddinG), a demographic-aware medical KG embedding
framework that explicitly incorporates demographics in the medical entities
space by associating patient demographics with a corresponding hyperplane. Our
framework leverages the probabilistic features within the medical entities for
learning their representations through demographic guidance. We evaluate
DARLING through link prediction for treatments and medicines, on a medical KG
constructed from EMR data, and illustrate its superior performance compared to
existing KG embedding models.",2021-03-22,2021,2021-03,medical,http://arxiv.org/abs/2103.11951v2
"Artificial Intelligence in Tumor Subregion Analysis Based on Medical
  Imaging: A Review","Medical imaging is widely used in cancer diagnosis and treatment, and
artificial intelligence (AI) has achieved tremendous success in various tasks
of medical image analysis. This paper reviews AI-based tumor subregion analysis
in medical imaging. We summarize the latest AI-based methods for tumor
subregion analysis and their applications. Specifically, we categorize the
AI-based methods by training strategy: supervised and unsupervised. A detailed
review of each category is presented, highlighting important contributions and
achievements. Specific challenges and potential AI applications in tumor
subregion analysis are discussed.",2021-03-25,2021,2021-03,medical,http://arxiv.org/abs/2103.13588v1
"Contextualized Keyword Representations for Multi-modal Retinal Image
  Captioning","Medical image captioning automatically generates a medical description to
describe the content of a given medical image. A traditional medical image
captioning model creates a medical description only based on a single medical
image input. Hence, an abstract medical description or concept is hard to be
generated based on the traditional approach. Such a method limits the
effectiveness of medical image captioning. Multi-modal medical image captioning
is one of the approaches utilized to address this problem. In multi-modal
medical image captioning, textual input, e.g., expert-defined keywords, is
considered as one of the main drivers of medical description generation. Thus,
encoding the textual input and the medical image effectively are both important
for the task of multi-modal medical image captioning. In this work, a new
end-to-end deep multi-modal medical image captioning model is proposed.
Contextualized keyword representations, textual feature reinforcement, and
masked self-attention are used to develop the proposed approach. Based on the
evaluation of the existing multi-modal medical image captioning dataset,
experimental results show that the proposed model is effective with the
increase of +53.2% in BLEU-avg and +18.6% in CIDEr, compared with the
state-of-the-art method.",2021-04-26,2021,2021-04,medical,http://arxiv.org/abs/2104.12471v1
"Explainable Artificial Intelligence for Human Decision-Support System in
  Medical Domain","In the present paper we present the potential of Explainable Artificial
Intelligence methods for decision-support in medical image analysis scenarios.
With three types of explainable methods applied to the same medical image data
set our aim was to improve the comprehensibility of the decisions provided by
the Convolutional Neural Network (CNN). The visual explanations were provided
on in-vivo gastral images obtained from a Video capsule endoscopy (VCE), with
the goal of increasing the health professionals' trust in the black box
predictions. We implemented two post-hoc interpretable machine learning methods
LIME and SHAP and the alternative explanation approach CIU, centered on the
Contextual Value and Utility (CIU). The produced explanations were evaluated
using human evaluation. We conducted three user studies based on the
explanations provided by LIME, SHAP and CIU. Users from different non-medical
backgrounds carried out a series of tests in the web-based survey setting and
stated their experience and understanding of the given explanations. Three user
groups (n=20, 20, 20) with three distinct forms of explanations were
quantitatively analyzed. We have found that, as hypothesized, the CIU
explainable method performed better than both LIME and SHAP methods in terms of
increasing support for human decision-making as well as being more transparent
and thus understandable to users. Additionally, CIU outperformed LIME and SHAP
by generating explanations more rapidly. Our findings suggest that there are
notable differences in human decision-making between various explanation
support settings. In line with that, we present three potential explainable
methods that can with future improvements in implementation be generalized on
different medical data sets and can provide great decision-support for medical
experts.",2021-05-05,2021,2021-05,medical,http://arxiv.org/abs/2105.02357v1
"Change Matters: Medication Change Prediction with Recurrent Residual
  Networks","Deep learning is revolutionizing predictive healthcare, including
recommending medications to patients with complex health conditions. Existing
approaches focus on predicting all medications for the current visit, which
often overlaps with medications from previous visits. A more clinically
relevant task is to identify medication changes.
  In this paper, we propose a new recurrent residual network, named MICRON, for
medication change prediction. MICRON takes the changes in patient health
records as input and learns to update a hidden medication vector and the
medication set recurrently with a reconstruction design. The medication vector
is like the memory cell that encodes longitudinal information of medications.
Unlike traditional methods that require the entire patient history for
prediction, MICRON has a residual-based inference that allows for sequential
updating based only on new patient features (e.g., new diagnoses in the recent
visit) more efficiently.
  We evaluated MICRON on real inpatient and outpatient datasets. MICRON
achieves 3.5% and 7.8% relative improvements over the best baseline in F1
score, respectively. MICRON also requires fewer parameters, which significantly
reduces the training time to 38.3s per epoch with 1.5x speed-up.",2021-05-05,2021,2021-05,medical,http://arxiv.org/abs/2105.01876v1
"MedSensor: Medication Adherence Monitoring Using Neural Networks on
  Smartwatch Accelerometer Sensor Data","Poor medication adherence presents serious economic and health problems
including compromised treatment effectiveness, medical complications, and loss
of billions of dollars in wasted medicine or procedures. Though various
interventions have been proposed to address this problem, there is an urgent
need to leverage light, smart, and minimally obtrusive technology such as
smartwatches to develop user tools to improve medication use and adherence. In
this study, we conducted several experiments on medication-taking activities,
developed a smartwatch android application to collect the accelerometer hand
gesture data from the smartwatch, and conveyed the data collected to a central
cloud database. We developed neural networks, then trained the networks on the
sensor data to recognize medication and non-medication gestures. With the
proposed machine learning algorithm approach, this study was able to achieve
average accuracy scores of 97% on the protocol-guided gesture data, and 95% on
natural gesture data.",2021-05-19,2021,2021-05,medical,http://arxiv.org/abs/2105.08907v1
"Zero-shot Medical Entity Retrieval without Annotation: Learning From
  Rich Knowledge Graph Semantics","Medical entity retrieval is an integral component for understanding and
communicating information across various health systems. Current approaches
tend to work well on specific medical domains but generalize poorly to unseen
sub-specialties. This is of increasing concern under a public health crisis as
new medical conditions and drug treatments come to light frequently. Zero-shot
retrieval is challenging due to the high degree of ambiguity and variability in
medical corpora, making it difficult to build an accurate similarity measure
between mentions and concepts. Medical knowledge graphs (KG), however, contain
rich semantics including large numbers of synonyms as well as its curated
graphical structures. To take advantage of this valuable information, we
propose a suite of learning tasks designed for training efficient zero-shot
entity retrieval models. Without requiring any human annotation, our knowledge
graph enriched architecture significantly outperforms common zero-shot
benchmarks including BM25 and Clinical BERT with 7% to 30% higher recall across
multiple major medical ontologies, such as UMLS, SNOMED, and ICD-10.",2021-05-26,2021,2021-05,medical,http://arxiv.org/abs/2105.12682v1
"Explainable AI for medical imaging: Explaining pneumothorax diagnoses
  with Bayesian Teaching","Limited expert time is a key bottleneck in medical imaging. Due to advances
in image classification, AI can now serve as decision-support for medical
experts, with the potential for great gains in radiologist productivity and, by
extension, public health. However, these gains are contingent on building and
maintaining experts' trust in the AI agents. Explainable AI may build such
trust by helping medical experts to understand the AI decision processes behind
diagnostic judgements. Here we introduce and evaluate explanations based on
Bayesian Teaching, a formal account of explanation rooted in the cognitive
science of human learning. We find that medical experts exposed to explanations
generated by Bayesian Teaching successfully predict the AI's diagnostic
decisions and are more likely to certify the AI for cases when the AI is
correct than when it is wrong, indicating appropriate trust. These results show
that Explainable AI can be used to support human-AI collaboration in medical
imaging.",2021-06-08,2021,2021-06,medical,http://arxiv.org/abs/2106.04684v1
Next-Gen Machine Learning Supported Diagnostic Systems for Spacecraft,"Future short or long-term space missions require a new generation of
monitoring and diagnostic systems due to communication impasses as well as
limitations in specialized crew and equipment. Machine learning supported
diagnostic systems present a viable solution for medical and technical
applications. We discuss challenges and applicability of such systems in light
of upcoming missions and outline an example use case for a next-generation
medical diagnostic system for future space operations. Additionally, we present
approach recommendations and constraints for the successful generation and use
of machine learning models aboard a spacecraft.",2021-06-10,2021,2021-06,medical,http://arxiv.org/abs/2106.05659v1
"Transformer-based unsupervised patient representation learning based on
  medical claims for risk stratification and analysis","The claims data, containing medical codes, services information, and incurred
expenditure, can be a good resource for estimating an individual's health
condition and medical risk level. In this study, we developed Transformer-based
Multimodal AutoEncoder (TMAE), an unsupervised learning framework that can
learn efficient patient representation by encoding meaningful information from
the claims data. TMAE is motivated by the practical needs in healthcare to
stratify patients into different risk levels for improving care delivery and
management. Compared to previous approaches, TMAE is able to 1) model
inpatient, outpatient, and medication claims collectively, 2) handle irregular
time intervals between medical events, 3) alleviate the sparsity issue of the
rare medical codes, and 4) incorporate medical expenditure information. We
trained TMAE using a real-world pediatric claims dataset containing more than
600,000 patients and compared its performance with various approaches in two
clustering tasks. Experimental results demonstrate that TMAE has superior
performance compared to all baselines. Multiple downstream applications are
also conducted to illustrate the effectiveness of our framework. The promising
results confirm that the TMAE framework is scalable to large claims data and is
able to generate efficient patient embeddings for risk stratification and
analysis.",2021-06-23,2021,2021-06,medical,http://arxiv.org/abs/2106.12658v1
"Objective task-based evaluation of artificial intelligence-based medical
  imaging methods: Framework, strategies and role of the physician","Artificial intelligence (AI)-based methods are showing promise in multiple
medical-imaging applications. Thus, there is substantial interest in clinical
translation of these methods, requiring in turn, that they be evaluated
rigorously. In this paper, our goal is to lay out a framework for objective
task-based evaluation of AI methods. We will also provide a list of tools
available in the literature to conduct this evaluation. Further, we outline the
important role of physicians in conducting these evaluation studies. The
examples in this paper will be proposed in the context of PET with a focus on
neural-network-based methods. However, the framework is also applicable to
evaluate other medical-imaging modalities and other types of AI methods.",2021-07-09,2021,2021-07,medical,http://arxiv.org/abs/2107.04540v2
Artificial Intelligence in PET: an Industry Perspective,"Artificial intelligence (AI) has significant potential to positively impact
and advance medical imaging, including positron emission tomography (PET)
imaging applications. AI has the ability to enhance and optimize all aspects of
the PET imaging chain from patient scheduling, patient setup, protocoling, data
acquisition, detector signal processing, reconstruction, image processing and
interpretation. AI poses industry-specific challenges which will need to be
addressed and overcome to maximize the future potentials of AI in PET. This
paper provides an overview of these industry-specific challenges for the
development, standardization, commercialization, and clinical adoption of AI,
and explores the potential enhancements to PET imaging brought on by AI in the
near future. In particular, the combination of on-demand image reconstruction,
AI, and custom designed data processing workflows may open new possibilities
for innovation which would positively impact the industry and ultimately
patients.",2021-07-14,2021,2021-07,medical,http://arxiv.org/abs/2107.06747v1
"Explainable artificial intelligence (XAI) in deep learning-based medical
  image analysis","With an increase in deep learning-based methods, the call for explainability
of such methods grows, especially in high-stakes decision making areas such as
medical image analysis. This survey presents an overview of eXplainable
Artificial Intelligence (XAI) used in deep learning-based medical image
analysis. A framework of XAI criteria is introduced to classify deep
learning-based medical image analysis methods. Papers on XAI techniques in
medical image analysis are then surveyed and categorized according to the
framework and according to anatomical location. The paper concludes with an
outlook of future opportunities for XAI in medical image analysis.",2021-07-22,2021,2021-07,medical,http://arxiv.org/abs/2107.10912v1
"Toward High-Throughput Artificial Intelligence-Based Segmentation in
  Oncological PET Imaging","Artificial intelligence (AI) techniques for image-based segmentation have
garnered much attention in recent years. Convolutional neural networks (CNNs)
have shown impressive results and potential towards fully automated
segmentation in medical imaging, and particularly PET imaging. To cope with the
limited access to annotated data needed in supervised AI methods, given tedious
and prone-to-error manual delineations, semi-supervised and unsupervised AI
techniques have also been explored for segmentation of tumors or normal organs
in single and bi-modality scans. This work provides a review of existing AI
techniques for segmentation tasks and the evaluation criteria for translational
AI-based segmentation efforts towards routine adoption in clinical workflows.",2021-07-28,2021,2021-07,medical,http://arxiv.org/abs/2107.13661v4
"A Method for Medical Data Analysis Using the LogNNet for Clinical
  Decision Support Systems and Edge Computing in Healthcare","Edge computing is a fast-growing and much needed technology in healthcare.
The problem of implementing artificial intelligence on edge devices is the
complexity and high resource intensity of the most known neural network data
analysis methods and algorithms. The difficulty of implementing these methods
on low-power microcontrollers with small memory size calls for the development
of new effective algorithms for neural networks. This study presents a new
method for analyzing medical data based on the LogNNet neural network, which
uses chaotic mappings to transform input information. The method effectively
solves classification problems and calculates risk factors for the presence of
a disease in a patient according to a set of medical health indicators. The
efficiency of LogNNet in assessing perinatal risk is illustrated on
cardiotocogram data obtained from the UC Irvine machine learning repository.
The classification accuracy reaches ~91% with the ~3-10 kB of RAM used on the
Arduino microcontroller. Using the LogNNet network trained on a publicly
available database of the Israeli Ministry of Health, a service concept for
COVID-19 express testing is provided. A classification accuracy of ~95% is
achieved, and ~0.6 kB of RAM is used. In all examples, the model is tested
using standard classification quality metrics: precision, recall, and
F1-measure. The LogNNet architecture allows the implementation of artificial
intelligence on medical peripherals of the Internet of Things with low RAM
resources and can be used in clinical decision support systems.",2021-08-05,2021,2021-08,medical,http://arxiv.org/abs/2108.02428v2
"Symptom based Hierarchical Classification of Diabetes and Thyroid
  disorders using Fuzzy Cognitive Maps","Fuzzy Cognitive Maps (FCMs) are soft computing technique that follows an
approach similar to human reasoning and human decision-making process, making
them a valuable modeling and simulation methodology. Medical Decision Systems
are complex systems consisting of many factors that may be complementary,
contradictory, and competitive; these factors influence each other and
determine the overall diagnosis with a different degree. Thus, FCMs are
suitable to model Medical Decision Support Systems. The proposed work therefore
uses FCMs arranged in hierarchical structure to classify between Diabetes,
Thyroid disorders and their subtypes. Subtypes include type 1 and type 2 for
diabetes and hyperthyroidism and hypothyroidism for thyroid.",2021-08-08,2021,2021-08,medical,http://arxiv.org/abs/2108.03760v1
"Sinoledge: A Knowledge Engine based on Logical Reasoning and Distributed
  Micro Services","We propose a knowledge engine called Sinoledge mainly for doctors,
physicians, and researchers in medical field to organize thoughts, manage
reasoning process, test and deploy to production environments effortlessly. Our
proposal can be related to rule engine usually used in business or medical
fields. More importantly, our proposal provides a user-friendly interface, an
easy-maintain way of organizing knowledge, an understandable testing
functionality and a highly available and efficient back-end architecture.",2021-08-29,2021,2021-08,medical,http://arxiv.org/abs/2109.08307v1
Artificial Intelligence in Dry Eye Disease,"Dry eye disease (DED) has a prevalence of between 5 and 50\%, depending on
the diagnostic criteria used and population under study. However, it remains
one of the most underdiagnosed and undertreated conditions in ophthalmology.
Many tests used in the diagnosis of DED rely on an experienced observer for
image interpretation, which may be considered subjective and result in
variation in diagnosis. Since artificial intelligence (AI) systems are capable
of advanced problem solving, use of such techniques could lead to more
objective diagnosis. Although the term `AI' is commonly used, recent success in
its applications to medicine is mainly due to advancements in the sub-field of
machine learning, which has been used to automatically classify images and
predict medical outcomes. Powerful machine learning techniques have been
harnessed to understand nuances in patient data and medical images, aiming for
consistent diagnosis and stratification of disease severity. This is the first
literature review on the use of AI in DED. We provide a brief introduction to
AI, report its current use in DED research and its potential for application in
the clinic. Our review found that AI has been employed in a wide range of DED
clinical tests and research applications, primarily for interpretation of
interferometry, slit-lamp and meibography images. While initial results are
promising, much work is still needed on model development, clinical testing and
standardisation.",2021-09-02,2021,2021-09,medical,http://arxiv.org/abs/2109.01658v1
"Readying Medical Students for Medical AI: The Need to Embed AI Ethics
  Education","Medical students will almost inevitably encounter powerful medical AI systems
early in their careers. Yet, contemporary medical education does not adequately
equip students with the basic clinical proficiency in medical AI needed to use
these tools safely and effectively. Education reform is urgently needed, but
not easily implemented, largely due to an already jam-packed medical curricula.
In this article, we propose an education reform framework as an effective and
efficient solution, which we call the Embedded AI Ethics Education Framework.
Unlike other calls for education reform to accommodate AI teaching that are
more radical in scope, our framework is modest and incremental. It leverages
existing bioethics or medical ethics curricula to develop and deliver content
on the ethical issues associated with medical AI, especially the harms of
technology misuse, disuse, and abuse that affect the risk-benefit analyses at
the heart of healthcare. In doing so, the framework provides a simple tool for
going beyond the ""What?"" and the ""Why?"" of medical AI ethics education, to
answer the ""How?"", giving universities, course directors, and/or professors a
broad road-map for equipping their students with the necessary clinical
proficiency in medical AI.",2021-09-07,2021,2021-09,medical,http://arxiv.org/abs/2109.02866v1
"Medically Aware GPT-3 as a Data Generator for Medical Dialogue
  Summarization","In medical dialogue summarization, summaries must be coherent and must
capture all the medically relevant information in the dialogue. However,
learning effective models for summarization require large amounts of labeled
data which is especially hard to obtain. We present an algorithm to create
synthetic training data with an explicit focus on capturing medically relevant
information. We utilize GPT-3 as the backbone of our algorithm and scale 210
human labeled examples to yield results comparable to using 6400 human labeled
examples (~30x) leveraging low-shot learning and an ensemble method. In
detailed experiments, we show that this approach produces high quality training
data that can further be combined with human labeled data to get summaries that
are strongly preferable to those produced by models trained on human data alone
both in terms of medical accuracy and coherency.",2021-09-09,2021,2021-09,medical,http://arxiv.org/abs/2110.07356v1
Toward a Perspectivist Turn in Ground Truthing for Predictive Computing,"Most Artificial Intelligence applications are based on supervised machine
learning (ML), which ultimately grounds on manually annotated data. The
annotation process is often performed in terms of a majority vote and this has
been proved to be often problematic, as highlighted by recent studies on the
evaluation of ML models. In this article we describe and advocate for a
different paradigm, which we call data perspectivism, which moves away from
traditional gold standard datasets, towards the adoption of methods that
integrate the opinions and perspectives of the human subjects involved in the
knowledge representation step of ML processes. Drawing on previous works which
inspired our proposal we describe the potential of our proposal for not only
the more subjective tasks (e.g. those related to human language) but also to
tasks commonly understood as objective (e.g. medical decision making), and
present the main advantages of adopting a perspectivist stance in ML, as well
as possible disadvantages, and various ways in which such a stance can be
implemented in practice. Finally, we share a set of recommendations and outline
a research agenda to advance the perspectivist stance in ML.",2021-09-09,2021,2021-09,medical,http://arxiv.org/abs/2109.04270v3
"Risk Management of AI/ML Software as a Medical Device (SaMD): On ISO
  14971 and Related Standards and Guidances","Safety and efficacy are the paramount objectives of medical device
regulation. And in line with the medical ethos of non-maleficence, first do no
harm, safety is the primary goal of regulation also. As such, risk management
is the underlying principle that governs the regulation of medical devices,
whether traditional devices or Software as a Medical Device (SaMD). In this
article, I review how Risk Management Standard ISO 14971:2019 both connects
with and serves as a foundation for the other parts of the Artificial
Intelligence (AI)/Machine Learning (ML) SaMD regulatory framework.",2021-09-11,2021,2021-09,medical,http://arxiv.org/abs/2109.07905v1
