title,summary,published,year,month,category,url
"Wireless 2.0: Towards an Intelligent Radio Environment Empowered by
  Reconfigurable Meta-Surfaces and Artificial Intelligence","We introduce ""Wireless 2.0"": The future generation of wireless communication
networks, where the radio environment becomes controllable, programmable, and
intelligent by leveraging the emerging technologies of reconfigurable
metasurfaces and artificial intelligence (AI). This paper, in particular, puts
the emphasis on AI-based computational methods and commence with an overview of
the concept of intelligent radio environments based on reconfigurable
meta-surfaces. Later we elaborate on data management aspects, the requirements
of supervised learning by examples, and the paradigm of reinforcement learning
(RL) to learn by acting. Finally, we highlight numerous open challenges and
research directions.",2020-02-23,2020,2020-02,environment,http://arxiv.org/abs/2002.11040v1
Trust-based Multiagent Consensus or Weightings Aggregation,"We introduce a framework for reaching a consensus amongst several agents
communicating via a trust network on conflicting information about their
environment. We formalise our approach and provide an empirical and theoretical
analysis of its properties.",2020-04-06,2020,2020-04,environment,http://arxiv.org/abs/2004.02490v1
"Design of a dynamic and self adapting system, supported with artificial
  intelligence, machine learning and real time intelligence for predictive
  cyber risk analytics in extreme environments, cyber risk in the colonisation
  of Mars","Multiple governmental agencies and private organisations have made
commitments for the colonisation of Mars. Such colonisation requires complex
systems and infrastructure that could be very costly to repair or replace in
cases of cyber attacks. This paper surveys deep learning algorithms, IoT cyber
security and risk models, and established mathematical formulas to identify the
best approach for developing a dynamic and self adapting system for predictive
cyber risk analytics supported with Artificial Intelligence and Machine
Learning and real time intelligence in edge computing. The paper presents a new
mathematical approach for integrating concepts for cognition engine design,
edge computing and Artificial Intelligence and Machine Learning to automate
anomaly detection. This engine instigates a step change by applying Artificial
Intelligence and Machine Learning embedded at the edge of IoT networks, to
deliver safe and functional real time intelligence for predictive cyber risk
analytics. This will enhance capacities for risk analytics and assists in the
creation of a comprehensive and systematic understanding of the opportunities
and threats that arise when edge computing nodes are deployed, and when
Artificial Intelligence and Machine Learning technologies are migrated to the
periphery of the internet and into local IoT networks.",2020-05-19,2020,2020-05,environment,http://arxiv.org/abs/2005.12150v2
"Synergetic Learning Systems: Concept, Architecture, and Algorithms","Drawing on the idea that brain development is a Darwinian process of
``evolution + selection'' and the idea that the current state is a local
equilibrium state of many bodies with self-organization and evolution processes
driven by the temperature and gravity in our universe, in this work, we
describe an artificial intelligence system called the ``Synergetic Learning
Systems''. The system is composed of two or more subsystems (models, agents or
virtual bodies), and it is an open complex giant system. Inspired by natural
intelligence, the system achieves intelligent information processing and
decision-making in a given environment through cooperative/competitive
synergetic learning. The intelligence evolved by the natural law of ``it is not
the strongest of the species that survives, but the one most responsive to
change,'' while an artificial intelligence system should adopt the law of
``human selection'' in the evolution process. Therefore, we expect that the
proposed system architecture can also be adapted in human-machine synergy or
multi-agent synergetic systems. It is also expected that under our design
criteria, the proposed system will eventually achieve artificial general
intelligence through long term coevolution.",2020-05-31,2020,2020-05,environment,http://arxiv.org/abs/2006.06367v2
Human $\neq$ AGI,"Terms Artificial General Intelligence (AGI) and Human-Level Artificial
Intelligence (HLAI) have been used interchangeably to refer to the Holy Grail
of Artificial Intelligence (AI) research, creation of a machine capable of
achieving goals in a wide range of environments. However, widespread implicit
assumption of equivalence between capabilities of AGI and HLAI appears to be
unjustified, as humans are not general intelligences. In this paper, we will
prove this distinction.",2020-07-11,2020,2020-07,environment,http://arxiv.org/abs/2007.07710v1
"A deep Q-Learning based Path Planning and Navigation System for
  Firefighting Environments","Live fire creates a dynamic, rapidly changing environment that presents a
worthy challenge for deep learning and artificial intelligence methodologies to
assist firefighters with scene comprehension in maintaining their situational
awareness, tracking and relay of important features necessary for key decisions
as they tackle these catastrophic events. We propose a deep Q-learning based
agent who is immune to stress induced disorientation and anxiety and thus able
to make clear decisions for navigation based on the observed and stored facts
in live fire environments. As a proof of concept, we imitate structural fire in
a gaming engine called Unreal Engine which enables the interaction of the agent
with the environment. The agent is trained with a deep Q-learning algorithm
based on a set of rewards and penalties as per its actions on the environment.
We exploit experience replay to accelerate the learning process and augment the
learning of the agent with human-derived experiences. The agent trained under
this deep Q-learning approach outperforms agents trained through alternative
path planning systems and demonstrates this methodology as a promising
foundation on which to build a path planning navigation assistant capable of
safely guiding fire fighters through live fire environments.",2020-11-12,2020,2020-11,environment,http://arxiv.org/abs/2011.06450v1
DeepMind Lab2D,"We present DeepMind Lab2D, a scalable environment simulator for artificial
intelligence research that facilitates researcher-led experimentation with
environment design. DeepMind Lab2D was built with the specific needs of
multi-agent deep reinforcement learning researchers in mind, but it may also be
useful beyond that particular subfield.",2020-11-13,2020,2020-11,environment,http://arxiv.org/abs/2011.07027v2
"Empowering Things with Intelligence: A Survey of the Progress,
  Challenges, and Opportunities in Artificial Intelligence of Things","In the Internet of Things (IoT) era, billions of sensors and devices collect
and process data from the environment, transmit them to cloud centers, and
receive feedback via the internet for connectivity and perception. However,
transmitting massive amounts of heterogeneous data, perceiving complex
environments from these data, and then making smart decisions in a timely
manner are difficult. Artificial intelligence (AI), especially deep learning,
is now a proven success in various areas including computer vision, speech
recognition, and natural language processing. AI introduced into the IoT
heralds the era of artificial intelligence of things (AIoT). This paper
presents a comprehensive survey on AIoT to show how AI can empower the IoT to
make it faster, smarter, greener, and safer. Specifically, we briefly present
the AIoT architecture in the context of cloud computing, fog computing, and
edge computing. Then, we present progress in AI research for IoT from four
perspectives: perceiving, learning, reasoning, and behaving. Next, we summarize
some promising applications of AIoT that are likely to profoundly reshape our
world. Finally, we highlight the challenges facing AIoT and some potential
research opportunities.",2020-11-17,2020,2020-11,environment,http://arxiv.org/abs/2011.08612v1
On limitations of learning algorithms in competitive environments,"We discuss conceptual limitations of generic learning algorithms pursuing
adversarial goals in competitive environments, and prove that they are subject
to limitations that are analogous to the constraints on knowledge imposed by
the famous theorems of G\""odel and Turing. These limitations are shown to be
related to intransitivity, which is commonly present in competitive
environments.",2020-11-25,2020,2020-11,environment,http://arxiv.org/abs/2011.12728v2
"Intelligent behavior depends on the ecological niche: Scaling up AI to
  human-like intelligence in socio-cultural environments","This paper outlines a perspective on the future of AI, discussing directions
for machines models of human-like intelligence. We explain how developmental
and evolutionary theories of human cognition should further inform artificial
intelligence. We emphasize the role of ecological niches in sculpting
intelligent behavior, and in particular that human intelligence was
fundamentally shaped to adapt to a constantly changing socio-cultural
environment. We argue that a major limit of current work in AI is that it is
missing this perspective, both theoretically and experimentally. Finally, we
discuss the promising approach of developmental artificial intelligence,
modeling infant development through multi-scale interaction between
intrinsically motivated learning, embodiment and a fastly changing
socio-cultural environment. This paper takes the form of an interview of
Pierre-Yves Oudeyer by Mandred Eppe, organized within the context of a KI -
K{\""{u}}nstliche Intelligenz special issue in developmental robotics.",2021-03-11,2021,2021-03,environment,http://arxiv.org/abs/2103.06769v1
Modular Procedural Generation for Voxel Maps,"Task environments developed in Minecraft are becoming increasingly popular
for artificial intelligence (AI) research. However, most of these are currently
constructed manually, thus failing to take advantage of procedural content
generation (PCG), a capability unique to virtual task environments. In this
paper, we present mcg, an open-source library to facilitate implementing PCG
algorithms for voxel-based environments such as Minecraft. The library is
designed with human-machine teaming research in mind, and thus takes a
'top-down' approach to generation, simultaneously generating low and high level
machine-readable representations that are suitable for empirical research.
These can be consumed by downstream AI applications that consider human spatial
cognition. The benefits of this approach include rapid, scalable, and efficient
development of virtual environments, the ability to control the statistics of
the environment at a semantic level, and the ability to generate novel
environments in response to player actions in real time.",2021-04-18,2021,2021-04,environment,http://arxiv.org/abs/2104.08890v1
"An Efficient Application of Neuroevolution for Competitive Multiagent
  Learning","Multiagent systems provide an ideal environment for the evaluation and
analysis of real-world problems using reinforcement learning algorithms. Most
traditional approaches to multiagent learning are affected by long training
periods as well as high computational complexity. NEAT (NeuroEvolution of
Augmenting Topologies) is a popular evolutionary strategy used to obtain the
best performing neural network architecture often used to tackle optimization
problems in the field of artificial intelligence. This paper utilizes the NEAT
algorithm to achieve competitive multiagent learning on a modified pong game
environment in an efficient manner. The competing agents abide by different
rules while having similar observation space parameters. The proposed algorithm
utilizes this property of the environment to define a singular
neuroevolutionary procedure that obtains the optimal policy for all the agents.
The compiled results indicate that the proposed implementation achieves ideal
behaviour in a very short training period when compared to existing multiagent
reinforcement learning models.",2021-05-23,2021,2021-05,environment,http://arxiv.org/abs/2105.10907v1
"Multi-Context Systems: Dynamics and Evolution (Pre-Print of
  ""Multi-context systems in dynamic environments"")","Multi-Context Systems (MCS) model in Computational Logic distributed systems
composed of heterogeneous sources, or ""contexts"", interacting via special rules
called ""bridge rules"". In this paper, we consider how to enhance flexibility
and generality in bridge-rules definition and application. In particular, we
introduce and discuss some formal extensions of MCSs useful for a practical use
in dynamic environments, and we try to provide guidelines for implementations",2021-06-12,2021,2021-06,environment,http://arxiv.org/abs/2106.06780v1
"A Systematic Survey of Text Worlds as Embodied Natural Language
  Environments","Text Worlds are virtual environments for embodied agents that, unlike 2D or
3D environments, are rendered exclusively using textual descriptions. These
environments offer an alternative to higher-fidelity 3D environments due to
their low barrier to entry, providing the ability to study semantics,
compositional inference, and other high-level tasks with rich high-level action
spaces while controlling for perceptual input. This systematic survey outlines
recent developments in tooling, environments, and agent modeling for Text
Worlds, while examining recent trends in knowledge graphs, common sense
reasoning, transfer learning of Text World performance to higher-fidelity
environments, as well as near-term development targets that, once achieved,
make Text Worlds an attractive general research paradigm for natural language
processing.",2021-07-08,2021,2021-07,environment,http://arxiv.org/abs/2107.04132v1
"Artificial intelligence for Sustainable Energy: A Contextual Topic
  Modeling and Content Analysis","Parallel to the rising debates over sustainable energy and artificial
intelligence solutions, the world is currently discussing the ethics of
artificial intelligence and its possible negative effects on society and the
environment. In these arguments, sustainable AI is proposed, which aims at
advancing the pathway toward sustainability, such as sustainable energy. In
this paper, we offered a novel contextual topic modeling combining LDA, BERT,
and Clustering. We then combined these computational analyses with content
analysis of related scientific publications to identify the main scholarly
topics, sub-themes, and cross-topic themes within scientific research on
sustainable AI in energy. Our research identified eight dominant topics
including sustainable buildings, AI-based DSSs for urban water management,
climate artificial intelligence, Agriculture 4, the convergence of AI with IoT,
AI-based evaluation of renewable technologies, smart campus and engineering
education, and AI-based optimization. We then recommended 14 potential future
research strands based on the observed theoretical gaps. Theoretically, this
analysis contributes to the existing literature on sustainable AI and
sustainable energy, and practically, it intends to act as a general guide for
energy engineers and scientists, AI scientists, and social scientists to widen
their knowledge of sustainability in AI and energy convergence research.",2021-10-02,2021,2021-10,environment,http://arxiv.org/abs/2110.00828v1
"Perceptions and attitudes of Children and Young People to Artificial
  Intelligence in Medicine","There is increasing interest in Artificial Intelligence and its application
to medicine. Perceptions are less well-known, notably amongst children and
young people. 21 members of a Young Persons Advisory Group for research,
recommend creating an enabling environment with children and young people,
through educational workshops with practical examples that use Artificial
Intelligence to help, but not replace humans, address issues, build trust, and
effectively communicate about potential opportunities.",2021-10-10,2021,2021-10,environment,http://arxiv.org/abs/2110.04890v1
"Artificial Intelligence Technology analysis using Artificial
  Intelligence patent through Deep Learning model and vector space model","Thanks to rapid development of artificial intelligence technology in recent
years, the current artificial intelligence technology is contributing to many
part of society. Education, environment, medical care, military, tourism,
economy, politics, etc. are having a very large impact on society as a whole.
For example, in the field of education, there is an artificial intelligence
tutoring system that automatically assigns tutors based on student's level. In
the field of economics, there are quantitative investment methods that
automatically analyze large amounts of data to find investment laws to create
investment models or predict changes in financial markets. As such, artificial
intelligence technology is being used in various fields. So, it is very
important to know exactly what factors have an important influence on each
field of artificial intelligence technology and how the relationship between
each field is connected. Therefore, it is necessary to analyze artificial
intelligence technology in each field. In this paper, we analyze patent
documents related to artificial intelligence technology. We propose a method
for keyword analysis within factors using artificial intelligence patent data
sets for artificial intelligence technology analysis. This is a model that
relies on feature engineering based on deep learning model named KeyBERT, and
using vector space model. A case study of collecting and analyzing artificial
intelligence patent data was conducted to show how the proposed model can be
applied to real world problems.",2021-11-08,2021,2021-11,environment,http://arxiv.org/abs/2111.11295v1
"A Survey on Applications of Digital Human Avatars toward Virtual
  Co-presence","This paper investigates different approaches to build and use digital human
avatars toward interactive Virtual Co-presence (VCP) environments. We evaluate
the evolution of technologies for creating VCP environments and how the
advancement in Artificial Intelligence (AI) and Computer Graphics affect the
quality of VCP environments. We categorize different methods in the literature
based on their applications and methodology and compare various groups and
strategies based on their applications, contributions, and limitations. We also
have a brief discussion about the approaches that other forms of human
representation, rather than digital human avatars, have been utilized in VCP
environments. Our goal is to fill the gap in the research domain where there is
a lack of literature review investigating different approaches for creating
avatar-based VCP environments. We hope this study will be useful for future
research involving human representation in VCP or Virtual Reality (VR)
environments. To the best of our knowledge, it is the first survey research
that investigates avatar-based VCP environments. Specifically, the
categorization methodology suggested in this paper for avatar-based methods is
new.",2022-01-11,2022,2022-01,environment,http://arxiv.org/abs/2201.04168v1
"Creative Problem Solving in Artificially Intelligent Agents: A Survey
  and Framework","Creative Problem Solving (CPS) is a sub-area within Artificial Intelligence
(AI) that focuses on methods for solving off-nominal, or anomalous problems in
autonomous systems. Despite many advancements in planning and learning,
resolving novel problems or adapting existing knowledge to a new context,
especially in cases where the environment may change in unpredictable ways post
deployment, remains a limiting factor in the safe and useful integration of
intelligent systems. The emergence of increasingly autonomous systems dictates
the necessity for AI agents to deal with environmental uncertainty through
creativity. To stimulate further research in CPS, we present a definition and a
framework of CPS, which we adopt to categorize existing AI methods in this
field. Our framework consists of four main components of a CPS problem, namely,
1) problem formulation, 2) knowledge representation, 3) method of knowledge
manipulation, and 4) method of evaluation. We conclude our survey with open
research questions, and suggested directions for the future.",2022-04-21,2022,2022-04,environment,http://arxiv.org/abs/2204.10358v1
Unified Distributed Environment,"We propose Unified Distributed Environment (UDE), an environment
virtualization toolkit for reinforcement learning research. UDE is designed to
integrate environments built on any simulation platform such as Gazebo, Unity,
Unreal, and OpenAI Gym. Through environment virtualization, UDE enables
offloading the environment for execution on a remote machine while still
maintaining a unified interface. The UDE interface is designed to support
multi-agent by default. With environment virtualization and its interface
design, the agent policies can be trained in multiple machines for a
multi-agent environment. Furthermore, UDE supports integration with existing
major RL toolkits for researchers to leverage the benefits. This paper
discusses the components of UDE and its design decisions.",2022-05-14,2022,2022-05,environment,http://arxiv.org/abs/2205.06946v1
Autonomous Visual Navigation A Biologically Inspired Approach,"Inspired by the navigational behavior observed in the animal kingdom and
especially the navigational behavior of the ants, we attempt to simulate it in
an artificial environment by implementing different kinds of biomimetic
algorithms.",2022-09-19,2022,2022-09,environment,http://arxiv.org/abs/2209.09663v1
Explainability in autonomous pedagogically structured scenarios,"We present the notion of explainability for decision-making processes in a
pedagogically structured autonomous environment. Multi-agent systems that are
structured pedagogically consist of pedagogical teachers and learners that
operate in environments in which both are sometimes not fully aware of all the
states in the environment and beliefs of other agents thus making it
challenging to explain their decisions and actions with one another. This work
emphasises the need for robust and iterative explanation-based communication
between the pedagogical teacher and the learner. Explaining the rationale
behind multi-agent decisions in an interactive, partially observable
environment is necessary to build trustworthy and reliable communication
between pedagogical teachers and learners. Ongoing research is primarily
focused on explanations of the agents' behaviour towards humans, and there is a
lack of research on inter-agent explainability.",2022-10-21,2022,2022-10,environment,http://arxiv.org/abs/2210.12140v1
Transformers as Policies for Variable Action Environments,"In this project we demonstrate the effectiveness of the transformer encoder
as a viable architecture for policies in variable action environments. Using
it, we train an agent using Proximal Policy Optimisation (PPO) on multiple maps
against scripted opponents in the Gym-$\mu$RTS environment. The final agent is
able to achieve a higher return using half the computational resources of the
next-best RL agent, which used the GridNet architecture.
  The source code and pre-trained models are available here:
https://github.com/NiklasZ/transformers-for-variable-action-envs",2023-01-09,2023,2023-01,environment,http://arxiv.org/abs/2301.03679v1
"Self-mediated exploration in artificial intelligence inspired by
  cognitive psychology","Exploration of the physical environment is an indispensable precursor to data
acquisition and enables knowledge generation via analytical or direct trialing.
Artificial Intelligence lacks the exploratory capabilities of even the most
underdeveloped organisms, hindering its autonomy and adaptability. Supported by
cognitive psychology, this works links human behavior and artificial agents to
endorse self-development. In accordance with reported data, paradigms of
epistemic and achievement emotion are embedded to machine-learning methodology
contingent on their impact when decision making. A study is subsequently
designed to mirror previous human trials, which artificial agents are made to
undergo repeatedly towards convergence. Results demonstrate causality, learned
by the vast majority of agents, between their internal states and exploration
to match those reported for human counterparts. The ramifications of these
findings are pondered for both research into human cognition and betterment of
artificial intelligence.",2023-02-13,2023,2023-02,environment,http://arxiv.org/abs/2302.06615v1
Towards Measuring Ethicality of an Intelligent Assistive System,"Artificial intelligence (AI) based assistive systems, so called intelligent
assistive technology (IAT) are becoming increasingly ubiquitous by each day.
IAT helps people in improving their quality of life by providing intelligent
assistance based on the provided data. A few examples of such IATs include
self-driving cars, robot assistants and smart-health management solutions.
However, the presence of such autonomous entities poses ethical challenges
concerning the stakeholders involved in using these systems. There is a lack of
research when it comes to analysing how such IAT adheres to provided ethical
regulations due to ethical, logistic and cost issues associated with such an
analysis. In the light of the above-mentioned problem statement and issues, we
present a method to measure the ethicality of an assistive system. To perform
this task, we utilised our simulation tool that focuses on modelling navigation
and assistance of Persons with Dementia (PwD) in indoor environments. By
utilising this tool, we analyse how well different assistive strategies adhere
to provided ethical regulations such as autonomy, justice and beneficence of
the stakeholders.",2023-02-28,2023,2023-02,environment,http://arxiv.org/abs/2303.03929v1
Games for Artificial Intelligence Research: A Review and Perspectives,"Games have been the perfect test-beds for artificial intelligence research
for the characteristics that widely exist in real-world scenarios. Learning and
optimisation, decision making in dynamic and uncertain environments, game
theory, planning and scheduling, design and education are common research areas
shared between games and real-world problems. Numerous open-source games or
game-based environments have been implemented for studying artificial
intelligence. In addition to single- or multi-player, collaborative or
adversarial games, there has also been growing interest in implementing
platforms for creative design in recent years. Those platforms provide ideal
benchmarks for exploring and comparing artificial intelligence ideas and
techniques. This paper reviews the games and game-based platforms for
artificial intelligence research, provides guidance on matching particular
types of artificial intelligence with suitable games for testing and matching
particular needs in games with suitable artificial intelligence techniques,
discusses the research trend induced by the evolution of those games and
platforms, and gives an outlook.",2023-04-26,2023,2023-04,environment,http://arxiv.org/abs/2304.13269v4
Ambient Technology & Intelligence,"Ambient intelligence refers to technological enhanced electronic environments
which are both responsive and sensitive to the presence of people within their
environment. Environments that are integrated with ambient intelligence tends
to adapt to the needs of individuals within the environment in an unobtrusive
manner in such a way as to enhance everyday life thereby making interaction
with technology extremely seamless and well integrated. This capability was
made possible because it is a concept that combines several key technologies
such as IoT (Internet of Things) technology, sensor technology, AI (Artificial
Intelligence), and advanced human-computer interaction all embedded and
integrated together with the environment.",2023-05-18,2023,2023-05,environment,http://arxiv.org/abs/2305.10726v2
Robots in the Garden: Artificial Intelligence and Adaptive Landscapes,"This paper introduces ELUA, the Ecological Laboratory for Urban Agriculture,
a collaboration among landscape architects, architects and computer scientists
who specialize in artificial intelligence, robotics and computer vision. ELUA
has two gantry robots, one indoors and the other outside on the rooftop of a
6-story campus building. Each robot can seed, water, weed, and prune in its
garden. To support responsive landscape research, ELUA also includes sensor
arrays, an AI-powered camera, and an extensive network infrastructure. This
project demonstrates a way to integrate artificial intelligence into an
evolving urban ecosystem, and encourages landscape architects to develop an
adaptive design framework where design becomes a long-term engagement with the
environment.",2023-05-22,2023,2023-05,environment,http://arxiv.org/abs/2305.13019v1
"Enhancing Evacuation Planning through Multi-Agent Simulation and
  Artificial Intelligence: Understanding Human Behavior in Hazardous
  Environments","This paper focuses on the crucial task of addressing the evacuation of
hazardous places, which holds great importance for coordinators, event hosts,
and authorities. To facilitate the development of effective solutions, the
paper employs Artificial Intelligence (AI) techniques, specifically Multi-Agent
Systems (MAS), to construct a simulation model for evacuation. NetLogo is
selected as the simulation tool of choice due to its ability to provide a
comprehensive understanding of human behaviour in distressing situations within
hazardous environments. The primary objective of this paper is to enhance our
comprehension of how individuals react and respond during such distressing
situations. By leveraging AI and MAS, the simulation model aims to capture the
complex dynamics of evacuation scenarios, enabling policymakers and emergency
planners to make informed decisions and implement more efficient and effective
evacuation strategies. This paper endeavours to contribute to the advancement
of evacuation planning and ultimately improve the safety and well-being of
individuals in hazardous places",2023-06-11,2023,2023-06,environment,http://arxiv.org/abs/2307.09485v1
"Adaptive User-centered Neuro-symbolic Learning for Multimodal
  Interaction with Autonomous Systems","Recent advances in machine learning, particularly deep learning, have enabled
autonomous systems to perceive and comprehend objects and their environments in
a perceptual subsymbolic manner. These systems can now perform object
detection, sensor data fusion, and language understanding tasks. However, there
is a growing need to enhance these systems to understand objects and their
environments more conceptually and symbolically. It is essential to consider
both the explicit teaching provided by humans (e.g., describing a situation or
explaining how to act) and the implicit teaching obtained by observing human
behavior (e.g., through the system's sensors) to achieve this level of powerful
artificial intelligence. Thus, the system must be designed with multimodal
input and output capabilities to support implicit and explicit interaction
models. In this position paper, we argue for considering both types of inputs,
as well as human-in-the-loop and incremental learning techniques, for advancing
the field of artificial intelligence and enabling autonomous systems to learn
like humans. We propose several hypotheses and design guidelines and highlight
a use case from related work to achieve this goal.",2023-09-11,2023,2023-09,environment,http://arxiv.org/abs/2309.05787v1
"Life-inspired Interoceptive Artificial Intelligence for Autonomous and
  Adaptive Agents","Building autonomous -- i.e., choosing goals based on one's needs -- and
adaptive -- i.e., surviving in ever-changing environments -- agents has been a
holy grail of artificial intelligence (AI). A living organism is a prime
example of such an agent, offering important lessons about adaptive autonomy.
Here, we focus on interoception, a process of monitoring one's internal
environment to keep it within certain bounds, which underwrites the survival of
an organism. To develop AI with interoception, we need to factorize the state
variables representing internal environments from external environments and
adopt life-inspired mathematical properties of internal environment states.
This paper offers a new perspective on how interoception can help build
autonomous and adaptive agents by integrating the legacy of cybernetics with
recent advances in theories of life, reinforcement learning, and neuroscience.",2023-09-12,2023,2023-09,environment,http://arxiv.org/abs/2309.05999v2
"The Animal-AI Environment: A Virtual Laboratory For Comparative
  Cognition and Artificial Intelligence Research","The Animal-AI Environment is a unique game-based research platform designed
to facilitate collaboration between the artificial intelligence and comparative
cognition research communities. In this paper, we present the latest version of
the Animal-AI Environment, outlining several major features that make the game
more engaging for humans and more complex for AI systems. These features
include interactive buttons, reward dispensers, and player notifications, as
well as an overhaul of the environment's graphics and processing for
significant improvements in agent training time and quality of the human player
experience. We provide detailed guidance on how to build computational and
behavioural experiments with the Animal-AI Environment. We present results from
a series of agents, including the state-of-the-art deep reinforcement learning
agent Dreamer-v3, on newly designed tests and the Animal-AI Testbed of 900
tasks inspired by research in the field of comparative cognition. The Animal-AI
Environment offers a new approach for modelling cognition in humans and
non-human animals, and for building biologically inspired artificial
intelligence.",2023-12-18,2023,2023-12,environment,http://arxiv.org/abs/2312.11414v3
"From Two-Dimensional to Three-Dimensional Environment with Q-Learning:
  Modeling Autonomous Navigation with Reinforcement Learning and no Libraries","Reinforcement learning (RL) algorithms have become indispensable tools in
artificial intelligence, empowering agents to acquire optimal decision-making
policies through interactions with their environment and feedback mechanisms.
This study explores the performance of RL agents in both two-dimensional (2D)
and three-dimensional (3D) environments, aiming to research the dynamics of
learning across different spatial dimensions. A key aspect of this
investigation is the absence of pre-made libraries for learning, with the
algorithm developed exclusively through computational mathematics. The
methodological framework centers on RL principles, employing a Q-learning agent
class and distinct environment classes tailored to each spatial dimension. The
research aims to address the question: How do reinforcement learning agents
adapt and perform in environments of varying spatial dimensions, particularly
in 2D and 3D settings? Through empirical analysis, the study evaluates agents'
learning trajectories and adaptation processes, revealing insights into the
efficacy of RL algorithms in navigating complex, multi-dimensional spaces.
Reflections on the findings prompt considerations for future research,
particularly in understanding the dynamics of learning in higher-dimensional
environments.",2024-03-27,2024,2024-03,environment,http://arxiv.org/abs/2403.18219v1
"The Transformation Risk-Benefit Model of Artificial Intelligence:
  Balancing Risks and Benefits Through Practical Solutions and Use Cases","This paper summarizes the most cogent advantages and risks associated with
Artificial Intelligence from an in-depth review of the literature. Then the
authors synthesize the salient risk-related models currently being used in AI,
technology and business-related scenarios. Next, in view of an updated context
of AI along with theories and models reviewed and expanded constructs, the
writers propose a new framework called ""The Transformation Risk-Benefit Model
of Artificial Intelligence"" to address the increasing fears and levels of AI
risk. Using the model characteristics, the article emphasizes practical and
innovative solutions where benefits outweigh risks and three use cases in
healthcare, climate change/environment and cyber security to illustrate unique
interplay of principles, dimensions and processes of this powerful AI
transformational model.",2024-04-11,2024,2024-04,environment,http://arxiv.org/abs/2406.11863v1
"Leveraging AI to Generate Audio for User-generated Content in Video
  Games","In video game design, audio (both environmental background music and object
sound effects) play a critical role. Sounds are typically pre-created assets
designed for specific locations or objects in a game. However, user-generated
content is becoming increasingly popular in modern games (e.g. building custom
environments or crafting unique objects). Since the possibilities are virtually
limitless, it is impossible for game creators to pre-create audio for
user-generated content. We explore the use of generative artificial
intelligence to create music and sound effects on-the-fly based on
user-generated content. We investigate two avenues for audio generation: 1)
text-to-audio: using a text description of user-generated content as input to
the audio generator, and 2) image-to-audio: using a rendering of the created
environment or object as input to an image-to-text generator, then piping the
resulting text description into the audio generator. In this paper we discuss
ethical implications of using generative artificial intelligence for
user-generated content and highlight two prototype games where audio is
generated for user-created environments and objects.",2024-04-25,2024,2024-04,environment,http://arxiv.org/abs/2404.17018v1
Elements Of Legislation For Artificial Intelligence Systems,"The significant part of the operational context for autonomous company
management systems is the regulatory and legal environment in which
corporations operate. In order to create a dedicated operational context for
autonomous artificial intelligence systems, the wording of local regulatory
documents can be simultaneously presented in two versions: for use by people
and for use by autonomous systems. In this case, the artificial intelligence
system will get a well-defined operational context that allows such a system to
perform functions within the required standards. Local regulations that provide
basis for the joint work of individuals and autonomous artificial intelligence
systems can form the grounds for the relevant legislation governing the
development and implementation of autonomous systems.",2024-05-05,2024,2024-05,environment,http://arxiv.org/abs/2407.10305v1
"Artificial Intelligence in Education: Ethical Considerations and
  Insights from Ancient Greek Philosophy","This paper explores the ethical implications of integrating Artificial
Intelligence (AI) in educational settings, from primary schools to
universities, while drawing insights from ancient Greek philosophy to address
emerging concerns. As AI technologies increasingly influence learning
environments, they offer novel opportunities for personalized learning,
efficient assessment, and data-driven decision-making. However, these
advancements also raise critical ethical questions regarding data privacy,
algorithmic bias, student autonomy, and the changing roles of educators. This
research examines specific use cases of AI in education, analyzing both their
potential benefits and drawbacks. By revisiting the philosophical principles of
ancient Greek thinkers such as Socrates, Aristotle, and Plato, we discuss how
their writings can guide the ethical implementation of AI in modern education.
The paper argues that while AI presents significant challenges, a balanced
approach informed by classical philosophical thought can lead to an ethically
sound transformation of education. It emphasizes the evolving role of teachers
as facilitators and the importance of fostering student initiative in AI-rich
environments.",2024-09-04,2024,2024-09,environment,http://arxiv.org/abs/2409.15296v1
Multi-agent Path Finding in Continuous Environment,"We address a variant of multi-agent path finding in continuous environment
(CE-MAPF), where agents move along sets of smooth curves. Collisions between
agents are resolved via avoidance in the space domain. A new Continuous
Environment Conflict-Based Search (CE-CBS) algorithm is proposed in this work.
CE-CBS combines conflict-based search (CBS) for the high-level search framework
with RRT* for low-level path planning. The CE-CBS algorithm is tested under
various settings on diverse CE-MAPF instances. Experimental results show that
CE-CBS is competitive w.r.t. to other algorithms that consider continuous
aspect in MAPF such as MAPF with continuous time.",2024-09-16,2024,2024-09,environment,http://arxiv.org/abs/2409.10680v1
"Fundamentals of legislation for autonomous artificial intelligence
  systems","The article proposes a method for forming a dedicated operational context in
course of development and implementation of autonomous corporate management
systems based on example of autonomous systems for a board of directors. The
significant part of the operational context for autonomous company management
systems is the regulatory and legal environment within which corporations
operate. In order to create a special operational context for autonomous
artificial intelligence systems, the wording of local regulatory documents can
be simultaneously presented in two versions: for use by people and for use by
autonomous systems. In this case, the artificial intelligence system will get a
well-defined operational context that allows such a system to perform functions
within the required standards. Local regulations that provide for the specifics
of the joint work of individuals and autonomous artificial intelligence systems
can create the basis of the relevant legislation governing the development and
implementation of autonomous systems.",2024-09-17,2024,2024-09,environment,http://arxiv.org/abs/2410.02769v1
